coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
1839641,"Carolina Michelle Carrillo Moreno",2021-11,,"Mesoheros festae",,"(Boulenger, 1899)",,,,,,,urn:uuid:d569627b-7ea7-416f-befb-df1b91247cff,"2025-11-03 15:20:24"
1839642,"Carolina Michelle Carrillo Moreno",2022-02,,"Saccodon wagneri",,"Kner, 1863",,,,,,,urn:uuid:5d941bce-9a64-4bca-a173-7b96e0ac4512,"2025-11-03 15:20:24"
1839643,"Carolina Michelle Carrillo Moreno",2022-02,,"Rhoadsia altipinna",,"Fowler, 1911",,,,,,,urn:uuid:86be9b20-c03f-4364-b3c5-5fa63296f779,"2025-11-03 15:20:24"
1839644,"Carolina Michelle Carrillo Moreno",2022-02,,"Mesoheros festae",,"(Boulenger, 1899)",,,,,,,urn:uuid:9d594811-a6a8-45eb-a2bf-d9a493f6f5d8,"2025-11-03 15:20:24"
1839645,"Carolina Michelle Carrillo Moreno",2022-02,,"Brachyhypopomus palenque",,"Crampton, de Santana, Waddell & Lovejoy, 2017",,,,,,,urn:uuid:e6365fc9-8ec0-4d2b-b853-e89483d2a404,"2025-11-03 15:20:24"
1839646,"Carolina Michelle Carrillo Moreno",2022-02,,"Trichomycterus taenia",,"Kner, 1863",,,,,,,urn:uuid:c9bc724c-4bf4-4fe7-a225-9ac3d06943de,"2025-11-03 15:20:24"
1839647,"Carolina Michelle Carrillo Moreno",2022-02,,"Ituglanis laticeps",,"(Kner, 1863)",,,,,,,urn:uuid:b23b7f0f-2956-4d86-8310-0646e11c8e98,"2025-11-03 15:20:24"
1839648,"Carolina Michelle Carrillo Moreno",2022-02,cf.,"Astroblepus cyclopus",,"(Humboldt, 1805)",,,,,,,urn:uuid:b90fe5c3-ed0d-47ba-8cd4-86cd340585f1,"2025-11-03 15:20:24"
1839649,"Carolina Michelle Carrillo Moreno",2022-02,cf.,"Astroblepus longifilis",,"(Steindachner, 1882)",,,,,,,urn:uuid:f4e4dc6c-5474-46f9-872d-61d5866477a8,"2025-11-03 15:20:24"
1839650,"Carolina Michelle Carrillo Moreno",2022-02,cf.,"Astroblepus mindoensis",,"(Regan, 1916)",,,,,,,urn:uuid:c532c661-46c0-450d-9cd0-7c573b8a3206,"2025-11-03 15:20:24"
1839651,"Carolina Michelle Carrillo Moreno",2022-02,,"Transancistrus aequinoctialis",,"(Pellegrin, 1909)",,,,,,,urn:uuid:01cb027d-e2aa-4394-920c-e3e55c1ba714,"2025-11-03 15:20:24"
1839652,"Carolina Michelle Carrillo Moreno",2022-02,,"Pimelodella modesta",,"(Günther, 1860)",,,,,,,urn:uuid:97595057-fe17-4af0-8604-a6e258557274,"2025-11-03 15:20:24"
1839653,"Carolina Michelle Carrillo Moreno",2022-02,,"Pimelodella elongata",,"(Günther, 1860)",,,,,,,urn:uuid:39210614-5ea2-4d25-a173-ae0226ef9905,"2025-11-03 15:20:24"
1839654,"Carolina Michelle Carrillo Moreno",2022-02,,"Eretmobrycon dahli",,"(Román-Valencia, 2000)",,,,,,,urn:uuid:0ea7db0c-bcf4-45d5-b98b-c2449982d74a,"2025-11-03 15:20:24"
1839655,"Carolina Michelle Carrillo Moreno",2022-02,,"Brycon posadae",,"Fowler, 1945",,,,,,,urn:uuid:502c8ab2-4712-4796-aaad-993e10e460a2,"2025-11-03 15:20:24"
1839656,"Carolina Michelle Carrillo Moreno",2022-02,,"Brycon oligolepis",,"(Regan. 1913)",,,,,,,urn:uuid:3f72a78a-60bf-412b-88d5-3268d319348e,"2025-11-03 15:20:24"
1839657,"Carolina Michelle Carrillo Moreno",2022-02,,"Brycon atrocaudatus",,"(Kner, 1863)",,,,,,,urn:uuid:e0cea0ad-c683-4ce0-8554-54dab3d90ab6,"2025-11-03 15:20:24"
1839658,"Carolina Michelle Carrillo Moreno",2022-02,cf.,"Astroblepus cyclopus",,"(Humboldt, 1805)",,,,,,,urn:uuid:8d3bee5e-80b7-46be-8825-4649600c50c4,"2025-11-03 15:20:24"
1839659,"Carolina Michelle Carrillo Moreno",2022-02,,"Eretmobrycon dahli",,"(Román-Valencia, 2000)",,,,,,,urn:uuid:fd3a8bb4-fb11-4669-a517-bc272221b3b2,"2025-11-03 15:20:24"
1839660,"Carolina Michelle Carrillo Moreno",2022-02,,"Andinoacara rivulatus",,"(Günther, 1860)",,,,,,,urn:uuid:b2eba6bf-760a-4d8e-ac5d-9f65b4591b84,"2025-11-03 15:20:24"
1839661,"Carolina Michelle Carrillo Moreno",2022-02,,"Pseudochalceus lineatus",,"Kner, 1863",,,,,,,urn:uuid:de1504df-918b-4751-ac92-ff88c36caea3,"2025-11-03 15:20:24"
1839662,"Carolina Michelle Carrillo Moreno",2022-02,,"Ituglanis laticeps",,"(Kner, 1863)",,,,,,,urn:uuid:1949dd41-db72-4ff5-bdf7-ea0475dbdc36,"2025-11-03 15:20:24"
1839663,"Carolina Michelle Carrillo Moreno",2022-02,,"Pseudopoecilia fria",,"(Eigenmann & Henn, 1914)",,,,,,,urn:uuid:730d7715-28eb-496c-9b97-e007d668e749,"2025-11-03 15:20:24"
1839664,"Carolina Michelle Carrillo Moreno",2022-02,,"Chaetostoma bifurcum",,"Lujan, Meza-Vargas, Astudillo-Clavijo, Barriga Salazar & López-Fernández, 2015",,,,,,,urn:uuid:1e9118c0-62b9-4757-a55a-60c66bbe3b1d,"2025-11-03 15:20:24"
1839665,"Carolina Michelle Carrillo Moreno",2022-02,,"Lebiasina bimaculata",,"Valenciennes, 1847",,,,,,,urn:uuid:fd85130d-855d-4eae-b781-86e9788ea9fd,"2025-11-03 15:20:24"
1839666,"Carolina Michelle Carrillo Moreno",2022-02,,"Gymnotus esmeraldas",,"Albert & Crampton, 2003",,,,,,,urn:uuid:895c47ff-2a34-4df1-8e08-7778a7c3c44a,"2025-11-03 15:20:24"
1839667,"Carolina Michelle Carrillo Moreno",2022-02,,"Andinoacara rivulatus",,"(Günther, 1860)",,,,,,,urn:uuid:742496ad-e39c-4e2e-a5c0-496cce7ae843,"2025-11-03 15:20:24"
1839668,"Carolina Michelle Carrillo Moreno",2022-02,,"Transancistrus aequinoctialis",,"(Pellegrin, 1909)",,,,,,,urn:uuid:929d5e33-693a-4500-b308-9db0dbbc9ad3,"2025-11-03 15:20:24"
1839669,"Carolina Michelle Carrillo Moreno",2022-02,,"Rhoadsia altipinna",,"Fowler, 1911",,,,,,,urn:uuid:8e455a52-2cc2-4b61-8fd2-50d7a90c6b22,"2025-11-03 15:20:24"
