coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
681444,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_747_1578518897_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_747_1578518897_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_747_1578518897_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_747_1578518897.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Hemigrammus sp.",,urn:uuid:3265f155-a8aa-46f0-b525-c77907cd0d4e,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=681444,StillImage,Photograph,en
681445,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_748_1578519079_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_748_1578519079_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_748_1578519079_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_748_1578519079.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Hyphessobrycon cf. ecuadorensis",,urn:uuid:f4ce32ec-25d7-46e8-b0d3-1a1872f37a0e,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=681445,StillImage,Photograph,en
681446,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_749_1578519144_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_749_1578519144_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_749_1578519144_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_749_1578519144.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Characidium cf. fasciatum",,urn:uuid:697b4254-2ef6-4e97-aa5c-9da9e5eb920d,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=681446,StillImage,Photograph,en
681448,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_750_1578519302_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_750_1578519302_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_750_1578519302_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_750_1578519302.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Knodus sp.",,urn:uuid:26d3e180-9d9c-4f42-8e47-5e7bc7203c66,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=681448,StillImage,Photograph,en
681449,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_751_1578519353_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_751_1578519353_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_751_1578519353_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_751_1578519353.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Bujurquina mariae",,urn:uuid:0b70af27-c970-4b80-a7f5-ef1e97ec98f9,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=681449,StillImage,Photograph,en
681450,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_752_1578519394_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_752_1578519394_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_752_1578519394_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_752_1578519394.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Pseudotylosurus angusticeps",,urn:uuid:73a915e3-dd42-4024-b23e-64d1182677a9,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=681450,StillImage,Photograph,en
681451,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_753_1578519531_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_753_1578519531_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_753_1578519531_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_753_1578519531.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Rineloricaria sp.",,urn:uuid:009c6403-6f08-4d7c-9abd-24bd048436d7,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=681451,StillImage,Photograph,en
681452,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_754_1578519578_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_754_1578519578_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_754_1578519578_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_754_1578519578.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Caquetaia myersi",,urn:uuid:e02662a4-be1d-4020-969e-06670a8d89a6,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=681452,StillImage,Photograph,en
681453,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_755_1578519646_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_755_1578519646_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_755_1578519646_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_755_1578519646.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Knodus sp2",,urn:uuid:91dc7585-1d84-407b-ab81-164b2a7a30e9,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=681453,StillImage,Photograph,en
681454,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_756_1578519704_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_756_1578519704_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_756_1578519704_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00000/MECN-DP_756_1578519704.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Creagrutus barrigai",,urn:uuid:8c49f7ac-d513-4561-9a94-9a40489f80d2,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=681454,StillImage,Photograph,en
