id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
1839641,INABIOEC,MECN-DP,INABIO,b636a8df-9e83-45fe-a0ae-dacfbb36c300,"Espécimen preservado",4f2cb023-c244-49bc-a70e-ae478f1a8112,4568,,Organism|Animalia|Chordata|Vertebrata|Perciformes|Cichlidae|Mesoheros,Animalia,Chordata,,Perciformes,Cichlidae,"Mesoheros festae",35408,"(Boulenger, 1899)",Mesoheros,,festae,,,Species,"Carolina Michelle Carrillo Moreno",2021-11,,,,,,"Jonathan Santiago Valdiviezo Rivera; Juan Luis Valdiviezo Rivera",,2021-10-16,2021,10,16,289,,2021-10-16,,,,,,,,,,,desconocido,desconocido,desconocido,Indeterminado,1,"Ejemplar completo en alcohol",,,,,,Ecuador,"Los Ríos","Buena Fé","Patricia Pilar","Río Baba (Río Palenque), Centro Científico Río Palenque - Fundación Wong","Río Guayas",-0.5881333,-79.363,WGS84,,,,,,,,,,,,,,"en colección",Español,"Carolina Michelle Carrillo Moreno","2025-11-03 15:20:32",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",4f2cb023-c244-49bc-a70e-ae478f1a8112,https://localhost/bndb/collections/individual/index.php?occid=1839641
1839642,INABIOEC,MECN-DP,INABIO,b636a8df-9e83-45fe-a0ae-dacfbb36c300,"Espécimen preservado",c3c857c9-8ae0-4565-b17b-5026481dfcb5,4569,,Organism|Animalia|Chordata|Vertebrata|Characiformes|Parodontidae|Saccodon,Animalia,Chordata,,Characiformes,Parodontidae,"Saccodon wagneri",35976,"Kner, 1863",Saccodon,,wagneri,,,Species,"Carolina Michelle Carrillo Moreno",2022-02,,,,,,"Jonathan Santiago Valdiviezo Rivera; Carolina Michelle Carrillo Moreno",,2022-02-08,2022,2,8,39,,2022-02-08,,,,,,,,,,,desconocido,desconocido,desconocido,Indeterminado,1,"Ejemplar completo en alcohol",,,,,,Ecuador,"Los Ríos",Valencia,"La Libertad","Río Damita","Río Guayas",-0.64206,-79.1894,WGS84,,,,,,,,,,,,,,"en colección",Español,"Carolina Michelle Carrillo Moreno","2025-11-03 15:20:33",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",c3c857c9-8ae0-4565-b17b-5026481dfcb5,https://localhost/bndb/collections/individual/index.php?occid=1839642
1839643,INABIOEC,MECN-DP,INABIO,b636a8df-9e83-45fe-a0ae-dacfbb36c300,"Espécimen preservado",9e2b1494-24ec-48b8-83cc-419b0c0223d1,4570,,Organism|Animalia|Chordata|Vertebrata|Characiformes|Characidae|Rhoadsia,Animalia,Chordata,,Characiformes,Characidae,"Rhoadsia altipinna",35957,"Fowler, 1911",Rhoadsia,,altipinna,,,Species,"Carolina Michelle Carrillo Moreno",2022-02,,,,,,"Jonathan Santiago Valdiviezo Rivera; Carolina Michelle Carrillo Moreno",,2022-02-08,2022,2,8,39,,2022-02-08,,,,,,,,,,,desconocido,nativo,desconocido,Indeterminado,6,"Ejemplar completo en alcohol",,,,,,Ecuador,"Los Ríos",Valencia,"La Libertad","Río Damita","Río Guayas",-0.64206,-79.1894,WGS84,,,,,,,,,,,,,,"en colección",Español,"Carolina Michelle Carrillo Moreno","2025-11-03 15:20:33",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",9e2b1494-24ec-48b8-83cc-419b0c0223d1,https://localhost/bndb/collections/individual/index.php?occid=1839643
1839644,INABIOEC,MECN-DP,INABIO,b636a8df-9e83-45fe-a0ae-dacfbb36c300,"Espécimen preservado",c460be5c-1d30-4ef9-9103-12764d30a1f9,4571,,Organism|Animalia|Chordata|Vertebrata|Perciformes|Cichlidae|Mesoheros,Animalia,Chordata,,Perciformes,Cichlidae,"Mesoheros festae",35408,"(Boulenger, 1899)",Mesoheros,,festae,,,Species,"Carolina Michelle Carrillo Moreno",2022-02,,,,,,"Jonathan Santiago Valdiviezo Rivera; Carolina Michelle Carrillo Moreno",,2022-02-08,2022,2,8,39,,2022-02-08,,,,,,,,,,,desconocido,desconocido,desconocido,Indeterminado,1,"Ejemplar completo en alcohol",,,,,,Ecuador,"Los Ríos",Valencia,"La Libertad","Río Damita","Río Guayas",-0.64206,-79.1894,WGS84,,,,,,,,,,,,,,"en colección",Español,"Carolina Michelle Carrillo Moreno","2025-11-03 15:20:33",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",c460be5c-1d30-4ef9-9103-12764d30a1f9,https://localhost/bndb/collections/individual/index.php?occid=1839644
1839645,INABIOEC,MECN-DP,INABIO,b636a8df-9e83-45fe-a0ae-dacfbb36c300,"Espécimen preservado",2ee364a1-e6a9-4c66-9e2d-e913309ee6a6,4572,,Organism|Animalia|Chordata|Vertebrata|Gymnotiformes|Hypopomidae|Brachyhypopomus,Animalia,Chordata,,Gymnotiformes,Hypopomidae,"Brachyhypopomus palenque",35269,"Crampton, de Santana, Waddell & Lovejoy, 2017",Brachyhypopomus,,palenque,,,Species,"Carolina Michelle Carrillo Moreno",2022-02,,,,,,"Jonathan Santiago Valdiviezo Rivera; Carolina Michelle Carrillo Moreno",,2022-02-08,2022,2,8,39,,2022-02-08,,,,,,,,,,,desconocido,desconocido,desconocido,Indeterminado,1,"Ejemplar completo en alcohol",,,,,,Ecuador,"Los Ríos",Valencia,"La Libertad","Río Damita","Río Guayas",-0.64206,-79.1894,WGS84,,,,,,,,,,,,,,"en colección",Español,"Carolina Michelle Carrillo Moreno","2025-11-03 15:20:33",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",2ee364a1-e6a9-4c66-9e2d-e913309ee6a6,https://localhost/bndb/collections/individual/index.php?occid=1839645
1839646,INABIOEC,MECN-DP,INABIO,b636a8df-9e83-45fe-a0ae-dacfbb36c300,"Espécimen preservado",df378e67-b7c9-47d0-b8f8-074c34a80808,4573,,Organism|Animalia|Chordata|Siluriformes|Trichomycteridae|Trichomycterus,Animalia,Chordata,,Siluriformes,Trichomycteridae,"Trichomycterus taenia",36080,"Kner, 1863",Trichomycterus,,taenia,,,Species,"Carolina Michelle Carrillo Moreno",2022-02,,,,,,"Jonathan Santiago Valdiviezo Rivera; Carolina Michelle Carrillo Moreno",,2022-02-08,2022,2,8,39,,2022-02-08,,,,,,,,,,,desconocido,nativo,desconocido,Indeterminado,1,"Ejemplar completo en alcohol",,,,,,Ecuador,"Los Ríos",Valencia,"La Libertad","Río Damita","Río Guayas",-0.64206,-79.1894,WGS84,,,,,,,,,,,,,,"en colección",Español,"Carolina Michelle Carrillo Moreno","2025-11-03 15:20:33",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",df378e67-b7c9-47d0-b8f8-074c34a80808,https://localhost/bndb/collections/individual/index.php?occid=1839646
1839647,INABIOEC,MECN-DP,INABIO,b636a8df-9e83-45fe-a0ae-dacfbb36c300,"Espécimen preservado",b0a8e39a-fc6a-420d-826f-d3a0347869e7,4574,,Organism|Animalia|Chordata|Siluriformes|Trichomycteridae|Ituglanis,Animalia,Chordata,,Siluriformes,Trichomycteridae,"Ituglanis laticeps",35656,"(Kner, 1863)",Ituglanis,,laticeps,,,Species,"Carolina Michelle Carrillo Moreno",2022-02,,,,,,"Jonathan Santiago Valdiviezo Rivera; Carolina Michelle Carrillo Moreno",,2022-02-08,2022,2,8,39,,2022-02-08,,,,,,,,,,,desconocido,nativo,desconocido,Indeterminado,3,"Ejemplar completo en alcohol",,,,,,Ecuador,"Los Ríos",Valencia,"La Libertad","Río Damita","Río Guayas",-0.64206,-79.1894,WGS84,,,,,,,,,,,,,,"en colección",Español,"Carolina Michelle Carrillo Moreno","2025-11-03 15:20:33",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",b0a8e39a-fc6a-420d-826f-d3a0347869e7,https://localhost/bndb/collections/individual/index.php?occid=1839647
1839648,INABIOEC,MECN-DP,INABIO,b636a8df-9e83-45fe-a0ae-dacfbb36c300,"Espécimen preservado",9b603545-15c4-4fbe-b5de-4b614e9a7ffd,4575,,Organism|Animalia|Chordata|Siluriformes|Astroblepidae|Astroblepus,Animalia,Chordata,,Siluriformes,Astroblepidae,"Astroblepus cyclopus",35219,"(Humboldt, 1805)",Astroblepus,,cyclopus,,,Species,"Carolina Michelle Carrillo Moreno",2022-02,,,,cf.,,"Jonathan Santiago Valdiviezo Rivera; Carolina Michelle Carrillo Moreno",,2022-02-08,2022,2,8,39,,2022-02-08,,,,,,,,,,,desconocido,desconocido,desconocido,Indeterminado,2,"Ejemplar completo en alcohol",,,,,,Ecuador,"Los Ríos",Valencia,"La Libertad","Río Damita","Río Guayas",-0.64206,-79.1894,WGS84,,,,,,,,,,,,,,"en colección",Español,"Carolina Michelle Carrillo Moreno","2025-11-03 15:20:33",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",9b603545-15c4-4fbe-b5de-4b614e9a7ffd,https://localhost/bndb/collections/individual/index.php?occid=1839648
1839649,INABIOEC,MECN-DP,INABIO,b636a8df-9e83-45fe-a0ae-dacfbb36c300,"Espécimen preservado",f5ebd5a5-47b2-447a-8422-8e704a0fadaf,4576,,Organism|Animalia|Chordata|Siluriformes|Astroblepidae|Astroblepus,Animalia,Chordata,,Siluriformes,Astroblepidae,"Astroblepus longifilis",35223,"(Steindachner, 1882)",Astroblepus,,longifilis,,,Species,"Carolina Michelle Carrillo Moreno",2022-02,,,,cf.,,"Jonathan Santiago Valdiviezo Rivera; Carolina Michelle Carrillo Moreno",,2022-02-08,2022,2,8,39,,2022-02-08,,,,,,,,,,,desconocido,desconocido,desconocido,Indeterminado,1,"Ejemplar completo en alcohol",,,,,,Ecuador,"Los Ríos",Valencia,"La Libertad","Río Damita","Río Guayas",-0.64206,-79.1894,WGS84,,,,,,,,,,,,,,"en colección",Español,"Carolina Michelle Carrillo Moreno","2025-11-03 15:20:33",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",f5ebd5a5-47b2-447a-8422-8e704a0fadaf,https://localhost/bndb/collections/individual/index.php?occid=1839649
1839650,INABIOEC,MECN-DP,INABIO,b636a8df-9e83-45fe-a0ae-dacfbb36c300,"Espécimen preservado",8ce0ea3c-77d2-4aad-a0dd-4d332c92d305,4577,,Organism|Animalia|Chordata|Siluriformes|Astroblepidae|Astroblepus,Animalia,Chordata,,Siluriformes,Astroblepidae,"Astroblepus mindoensis",35225,"(Regan, 1916)",Astroblepus,,mindoensis,,,Species,"Carolina Michelle Carrillo Moreno",2022-02,,,,cf.,,"Jonathan Santiago Valdiviezo Rivera; Carolina Michelle Carrillo Moreno",,2022-02-08,2022,2,8,39,,2022-02-08,,,,,,,,,,,desconocido,desconocido,desconocido,Indeterminado,1,"Ejemplar completo en alcohol",,,,,,Ecuador,"Los Ríos",Valencia,"La Libertad","Río Damita","Río Guayas",-0.64206,-79.1894,WGS84,,,,,,,,,,,,,,"en colección",Español,"Carolina Michelle Carrillo Moreno","2025-11-03 15:20:33",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",8ce0ea3c-77d2-4aad-a0dd-4d332c92d305,https://localhost/bndb/collections/individual/index.php?occid=1839650
