catalogNumber,id,nombre_identifications,nombre_core,fecha_identifications,fecha_core,determinador_identifications,determinador_core,motivo
1799,678173,Bujurquina moriorum,Bujurquina moriorum,2023-06-05,2023-06-05,Jonathan Valdiviezo | Daysi Gualavisi | Juan Luis Valdiviezo,Jonathan Santiago Valdiviezo Rivera | Daysi Carina Gualavisi Cajas | Juan Luis Valdiviezo Rivera,"identifications trae cualificador de su propia determinacion, incompatible con el nombre del core"
4271,680967,Chrysobrycon,Creagrutus kunturus,2019,2023-07-13,Jonathan Santiago Valdiviezo Rivera | Daysi Carina Gualavisi Cajas,Jonathan Santiago Valdiviezo Rivera | Daysi Carina Gualavisi Cajas | Juan Luis Valdiviezo Rivera,"identifications trae cualificador de su propia determinacion, incompatible con el nombre del core"
4317,681018,Brachychalcinus nummus,Brachychalcinus nummus,2019,2019,"Paul, Tufiño",Paúl Tufiño,"identifications trae cualificador de su propia determinacion, incompatible con el nombre del core"
4388,677081,Hemigrammus schmardae,Knodus gamma,2021,2023-07-17,Martha Buenaño Carriel,Jonathan Santiago Valdiviezo Rivera | Daysi Carina Gualavisi Cajas | Juan Luis Valdiviezo Rivera,"identifications trae cualificador de su propia determinacion, incompatible con el nombre del core"
4437,677130,Bryconops giacopinii,Bryconops caudomaculatus,2021,2023-07-14,Jonathan Santiago Valdiviezo Rivera | Carolina Michelle Carrillo Moreno,Jonathan Santiago Valdiviezo Rivera | Carolina Michelle Carrillo Moreno,"identifications trae cualificador de su propia determinacion, incompatible con el nombre del core"
4452,677145,Pimelodella lateristriga,Pimelodella gracilis,2021,2023-07-14,Jonathan Santiago Valdiviezo Rivera | Carolina Michelle Carrillo Moreno,Jonathan Santiago Valdiviezo Rivera | Carolina Michelle Carrillo Moreno,"identifications trae cualificador de su propia determinacion, incompatible con el nombre del core"
4453,677146,Bryconops giacopinii,Bryconops caudomaculatus,2021,2023-07-14,Jonathan Santiago Valdiviezo Rivera | Carolina Michelle Carrillo Moreno,Jonathan Santiago Valdiviezo Rivera | Carolina Michelle Carrillo Moreno,"identifications trae cualificador de su propia determinacion, incompatible con el nombre del core"
4559,677252,Apistogramma cruzi,Apistogramma cruzi,2021,2021,Martha Buenaño Carriel,Martha Buenaño Carriel,"identifications trae cualificador de su propia determinacion, incompatible con el nombre del core"
3762,680401,Microglanis,Microglanis berbixae,2017,2017,Jonathan Santiago Valdiviezo Rivera,Jonathan Santiago Valdiviezo Rivera,"identifications trae el nombre truncado, no una determinacion anterior"
3763,680402,Microglanis,Microglanis berbixae,2017,2017,Jonathan Santiago Valdiviezo Rivera,Jonathan Santiago Valdiviezo Rivera,"identifications trae el nombre truncado, no una determinacion anterior"
3764,680403,Microglanis,Microglanis berbixae,2017,2017,Jonathan Santiago Valdiviezo Rivera,Jonathan Santiago Valdiviezo Rivera,"identifications trae el nombre truncado, no una determinacion anterior"
4013,680681,Pimelodella,Pimelodella lateristriga,sin datos,2023-07-25,"Mauricio, Herrera",Jonathan Santiago Valdiviezo Rivera | Daysi Carina Gualavisi Cajas | Juan Luis Valdiviezo Rivera,"identifications trae el nombre truncado, no una determinacion anterior"
4015,680683,Bujurquina,Bujurquina moriorum,sin datos,2023-07-25,"Mauricio, Herrera",Jonathan Santiago Valdiviezo Rivera | Daysi Carina Gualavisi Cajas | Juan Luis Valdiviezo Rivera,"identifications trae el nombre truncado, no una determinacion anterior"
