catalogNumber,id,bloque,regla,campos,valores,severidad,destino
1489,677806,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Guayas -1.557533 -79.758014,alta,INABIO
1814,678191,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Pichincha 0.133663 -76.652616,alta,INABIO
1815,678192,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Pichincha 0.133663 -76.652616,alta,INABIO
2534,678991,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Loreto -0.565725 -75.205312,alta,INABIO
2535,678992,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Loreto -0.565725 -75.205312,alta,INABIO
2536,678993,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Loreto -0.565725 -75.205312,alta,INABIO
2537,678994,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Loreto -0.565725 -75.205312,alta,INABIO
2538,678995,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Loreto -0.565725 -75.205312,alta,INABIO
3052,679590,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Carchi -0.455956 -75.353747,alta,INABIO
3094,679636,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,NA 0.214115 -76.274799,alta,INABIO
3095,679637,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,NA 0.214115 -76.274799,alta,INABIO
3096,679638,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Pastaza 0.214115 -76.274799,alta,INABIO
3097,679639,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Tungurahua 0.214115 -76.274799,alta,INABIO
3098,679640,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Tungurahua 0.214115 -76.274799,alta,INABIO
3099,679641,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Tungurahua 0.214115 -76.274799,alta,INABIO
3116,679661,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Morona Santiago -1.436321 -78.165466,alta,INABIO
3431,680011,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,El Oro -3.872997 -80.037728,alta,INABIO
3514,680103,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Napo -0.363411 -75.685774,alta,INABIO
4922,1839995,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Guayas -2.17724 -79.13347,alta,INABIO
5,681169,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Sucumbíos -0.459992 -80.454897,alta,INABIO
5246,1840319,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Sucumbíos -0.997237 -76.09445,alta,INABIO
5259,1840332,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Orellana -2.091522 -79.39281,alta,INABIO
5260,1840333,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Orellana -2.091522 -79.39281,alta,INABIO
5264,1840337,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Bolívar -2.091522 -79.392815,alta,INABIO
5606,1840702,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Esmeraldas -0.928275 -79.221299,alta,INABIO
5607,1840703,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Orellana -0.87127 -79.85844,alta,INABIO
5610,1840706,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Pichincha -0.928275 -79.221299,alta,INABIO
5613,1840709,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Orellana -0.42756 -76.12474,alta,INABIO
5614,1840710,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Napo -0.599774 -75.508604,alta,INABIO
5615,1840711,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Orellana -0.599774 -75.508604,alta,INABIO
5616,1840712,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Orellana -1.943606 -79.076243,alta,INABIO
5620,1840716,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Bolívar -0.928275 -79.221299,alta,INABIO
5625,1840721,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Napo 1.060249 -79.404332,alta,INABIO
5630,1840726,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Napo -2.452546 -78.174371,alta,INABIO
5636,1840732,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Cotopaxi -0.04499 -76.20131,alta,INABIO
5644,1840740,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Sucumbíos -0.6211 -75.8582,alta,INABIO
5647,1840743,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Napo -0.670262 -75.901753,alta,INABIO
5649,1840745,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Pichincha -0.87127 -79.85844,alta,INABIO
5653,1840749,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Esmeraldas -0.6211 -75.8582,alta,INABIO
5654,1840750,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Esmeraldas -0.670262 -75.901753,alta,INABIO
5657,1840753,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Esmeraldas -0.04499 -76.20131,alta,INABIO
5658,1840754,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Esmeraldas -2.091522 -79.392815,alta,INABIO
5659,1840755,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Esmeraldas -0.599774 -75.508604,alta,INABIO
5660,1840756,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Esmeraldas -0.04499 -76.20131,alta,INABIO
5663,1840759,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Pichincha -0.6211 -75.8582,alta,INABIO
