catalogNumber,id,bloque,regla,campos,valores,severidad,destino
100,677264,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
1000,677265,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1001,677266,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1002,677267,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1003,677268,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1004,677269,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1005,677270,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1006,677271,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1007,677272,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1008,677273,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1009,677274,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
101,677275,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
1010,677276,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1011,677277,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1012,677278,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1013,677279,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1014,677280,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1015,677281,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1016,677282,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1017,677283,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1018,677284,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1019,677285,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
102,677286,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
1020,677287,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1021,677288,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1022,677289,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1023,677290,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1024,677291,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1025,677292,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1026,677293,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
103,677297,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
104,677308,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
105,677319,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
106,677330,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
1067,677338,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1068,677339,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1069,677340,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
107,677341,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
1070,677342,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1071,677343,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1072,677344,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1073,677345,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1074,677346,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1075,677347,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1076,677348,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1077,677349,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1078,677350,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1079,677351,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
108,677352,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
1080,677353,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1081,677354,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Loja,informativa,propio
109,677363,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
110,677375,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
111,677386,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
1114,677391,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1115,677392,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1117,677394,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1119,677396,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
112,677397,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
1122,677400,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1125,677403,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
1127,677405,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
